Gene symbol	Fold Change	Log fold change	Adjusted p-value	Description
IRF6	0.999	-0.001	5.615E-01	Interferon regulatory factor 6
OTTMUSG00000010009	0.999	-0.001	4.761E-01	
SERPINA1D	0.999	-0.001	6.261E-01	Serine (or cysteine) peptidase inhibitor, clade A, member 1d
SLC26A11	0.999	-0.001	7.126E-01	Transcribed locus
4921511C20Rik	0.999	-0.001	6.181E-01	
RDH13	0.999	-0.001	4.502E-01	Transcribed locus
OLFR1145	0.999	-0.001	4.209E-01	Olfactory receptor 1145
OLFR142	0.999	-0.001	6.277E-01	Olfactory receptor 142
SYNC	0.999	-0.001	8.601E-01	
DEFB42	0.999	-0.001	3.951E-01	Defensin beta 42
OLFR316	0.999	-0.001	4.307E-01	Olfactory receptor 316
PRCC	0.999	-0.001	4.052E-01	Papillary renal cell carcinoma (translocation-associated)
EG628586	0.999	-0.001	5.449E-01	
HRH4	0.999	-0.001	5.139E-01	Histamine H4 receptor
TGM3	0.999	-0.001	4.203E-01	Transglutaminase 3, E polypeptide
SLC10A2	0.999	-0.001	6.232E-01	Solute carrier family 10, member 2
PDE3A	0.999	-0.001	9.287E-01	Phosphodiesterase 3A, cGMP inhibited
TAS2R124	0.999	-0.001	7.020E-01	Taste receptor, type 2, member 124
EG329541	0.999	-0.001	3.070E-01	
OLFR736	0.999	-0.001	8.531E-01	Olfactory receptor 736
1190003J15RIK	0.999	-0.001	6.417E-01	
SERPINE1	0.999	-0.001	4.279E-01	Serine (or cysteine) peptidase inhibitor, clade E, member 1
OLFR315	0.999	-0.001	3.638E-01	Olfactory receptor 315
LOC100044182	0.999	-0.001	3.590E-01	
PRL4A1	0.999	-0.001	3.590E-01	Prolactin family 4, subfamily a, member 1
4933425M15RIK	0.999	-0.001	8.246E-01	
A730018C14Rik	0.999	-0.001	6.110E-01	
OLFR1000	0.999	-0.001	6.704E-01	Olfactory receptor 1000
ZIC5	0.999	-0.001	5.419E-01	Transcribed locus, weakly similar to NP_055333.2 finger protein 229 [Homo sapiens]
A530053G22Rik	0.999	-0.001	6.003E-01	
SLFN1	0.999	-0.001	5.986E-01	Schlafen 1
JMJD2A	0.999	-0.001	9.523E-01	
UMOD	0.999	-0.001	4.675E-01	Uromodulin
TRIM31	0.999	-0.001	7.505E-01	Tripartite motif-containing 31
CNGA2	0.999	-0.001	4.454E-01	Cyclic nucleotide gated channel alpha 2
ADAM10	0.999	-0.001	6.039E-01	A disintegrin and metallopeptidase domain 10
TPH1	0.999	-0.001	7.299E-01	Tryptophan hydroxylase 1
4930486L24RIK	0.999	-0.001	4.221E-01	RIKEN cDNA 4930486L24 gene
1700010I14RIK	0.999	-0.001	5.652E-01	
PDCD6	0.999	-0.001	4.850E-01	
HTR2B	0.999	-0.001	8.486E-01	5-hydroxytryptamine (serotonin) receptor 2B
ADAM26A	0.999	-0.001	7.785E-01	A disintegrin and metallopeptidase domain 26A (testase 3)
UCHL4	0.999	-0.001	8.659E-01	Ubiquitin carboxyl-terminal esterase L4
D430018E03RIK	0.999	-0.001	5.188E-01	
NAIP1	0.999	-0.001	6.893E-01	NLR family, apoptosis inhibitory protein 1
FAT4	0.999	-0.001	6.766E-01	FAT tumor suppressor homolog 4 (Drosophila)
CENPH	0.999	-0.001	4.372E-01	Centromere protein H
PCNXL3	0.999	-0.001	7.349E-01	Pecanex-like 3 (Drosophila)
OSTA	0.999	-0.001	3.023E-01	
KLK1B5	0.999	-0.001	5.675E-01	
BTBD16	0.999	-0.001	8.308E-01	BTB (POZ) domain containing 16
V1RE7	0.999	-0.001	6.879E-01	
CLIC5	0.999	-0.001	5.692E-01	Chloride intracellular channel 5
HAPLN1	0.999	-0.001	4.522E-01	Hyaluronan and proteoglycan link protein 1
EG218444	0.999	-0.001	4.542E-01	
HTR5A	0.999	-0.001	8.061E-01	5-hydroxytryptamine (serotonin) receptor 5A
RHOC	0.999	-0.001	9.484E-01	
OLFR74	0.999	-0.001	5.463E-01	Olfactory receptor 74
PNKD	0.999	-0.001	7.258E-01	Paroxysmal nonkinesiogenic dyskinesia
EFHC2	0.999	-0.001	7.703E-01	EF-hand domain (C-terminal) containing 2
DISP2	0.999	-0.001	5.752E-01	Dispatched homolog 2 (Drosophila)
LGALS12	0.999	-0.001	3.507E-01	Lectin, galactose binding, soluble 12
NEK2	0.999	-0.001	4.339E-01	NIMA (never in mitosis gene a)-related expressed kinase 2
OLFR504	0.999	-0.001	6.667E-01	Olfactory receptor 504
OLFR545	0.999	-0.001	7.206E-01	Olfactory receptor 545
TTLL8	0.999	-0.001	5.868E-01	RIKEN cDNA 1700019P01 gene
FOXI1	0.999	-0.001	7.150E-01	Forkhead box I1
ZC3H12B	0.999	-0.001	3.357E-01	Zinc finger CCCH-type containing 12B
PCDHGA1	0.999	-0.001	4.381E-01	
COLQ	0.999	-0.001	8.732E-01	Collagen-like tail subunit (single strand of homotrimer) of asymmetric acetylcholinesterase
TPBPA	0.999	-0.001	6.168E-01	Trophoblast specific protein alpha
OLFR216	0.999	-0.001	4.987E-01	
CYB561D2	0.999	-0.001	7.191E-01	Cytochrome b-561 domain containing 2
TAS2R114	0.999	-0.001	6.911E-01	Taste receptor, type 2, member 114
GM1604	0.999	-0.001	6.042E-01	
PABPC2	0.999	-0.001	5.468E-01	Transcribed locus
ST8SIA1	0.999	-0.001	9.327E-01	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1
ZFP112	0.999	-0.001	7.499E-01	Zinc finger protein 112
NDC80	0.999	-0.001	6.917E-01	
NANP	0.999	-0.001	5.318E-01	
PDGFRL	0.999	-0.001	9.380E-01	
NSUN3	0.999	-0.001	8.441E-01	NOL1/NOP2/Sun domain family 3
ERG	0.999	-0.001	3.436E-01	Avian erythroblastosis virus E-26 (v-ets) oncogene related
LOC545952	0.999	-0.001	3.836E-01	
ITFG1	0.999	-0.001	4.253E-01	
SVAL2	0.999	-0.001	7.042E-01	
OBOX1	0.999	-0.001	6.053E-01	Oocyte specific homeobox 1
OLFR1491	0.999	-0.001	7.938E-01	Olfactory receptor 1491
TECTB	0.999	-0.001	3.546E-01	Tectorin beta
ING5	0.999	-0.001	3.410E-01	Transcribed locus
TAAR7E	0.999	-0.001	7.799E-01	Trace amine-associated receptor 7E
ZFP438	0.999	-0.001	5.016E-01	Zinc finger protein 438
OLFR599	0.999	-0.001	4.371E-01	Olfactory receptor 599
STBD1	0.999	-0.001	8.185E-01	Starch binding domain 1
1700123K08RIK	0.999	-0.001	6.264E-01	RIKEN cDNA 1700123K08 gene
RALGPS2	0.999	-0.001	7.430E-01	
SAMM50	0.999	-0.001	6.269E-01	Transcribed locus
PCDHGA6	0.999	-0.001	5.698E-01	
APITD1	0.999	-0.001	7.909E-01	Apoptosis-inducing, TAF9-like domain 1
MED29	0.999	-0.001	7.716E-01	Mediator complex subunit 29
OLFR1220	0.999	-0.001	5.021E-01	Olfactory receptor 1220
BC053749	0.999	-0.001	9.246E-01	CDNA sequence BC053749
ZFP697	0.999	-0.001	4.750E-01	Zinc finger protein 697
SLC10A6	0.999	-0.001	5.468E-01	
FOXD3	0.999	-0.001	6.116E-01	Forkhead box D3
OLFR601	0.999	-0.001	4.393E-01	Olfactory receptor 601
TLX1	0.999	-0.001	4.987E-01	T-cell leukemia, homeobox 1
TXNDC8	0.999	-0.001	4.014E-01	Thioredoxin domain containing 8
LRRC34	0.999	-0.001	8.368E-01	Leucine rich repeat containing 34
OLFR1286	0.999	-0.001	4.746E-01	Olfactory receptor 1286
RNF141	0.999	-0.001	7.877E-01	Transcribed locus
OLFR1102	0.999	-0.001	3.812E-01	Olfactory receptor 1102
IL18R1	0.999	-0.001	3.524E-01	Interleukin 18 receptor 1
SFRS15	0.999	-0.001	5.882E-01	
3300002I08RIK	0.999	-0.001	5.498E-01	
IIGP1	0.999	-0.001	4.760E-01	Interferon inducible GTPase 1
USP37	0.999	-0.001	6.051E-01	
CTLA2A	0.999	-0.001	8.552E-01	Cytotoxic T lymphocyte-associated protein 2 alpha
OLFR742	0.999	-0.001	3.420E-01	Olfactory receptor 742
A630033H20RIK	0.999	-0.001	5.458E-01	RIKEN cDNA A630033H20 gene
THRB	0.999	-0.001	6.695E-01	Thyroid hormone receptor beta
RRH	0.999	-0.001	6.650E-01	
ZADH1	0.999	-0.001	8.308E-01	
PIRA11	0.999	-0.001	8.477E-01	Paired-Ig-like receptor A11
MGC118210	0.999	-0.001	4.666E-01	
PRL3A1	0.999	-0.001	7.543E-01	Prolactin family 3, subfamily a, member 1
OLFR857	0.999	-0.001	4.321E-01	Olfactory receptor 58
GJE1	0.999	-0.001	3.225E-01	
TCFL5	0.999	-0.001	3.406E-01	Transcription factor-like 5 (basic helix-loop-helix)
BC037594	0.999	-0.001	5.744E-01	
GM106	0.999	-0.001	4.300E-01	
RXFP4	0.999	-0.001	6.042E-01	Relaxin family peptide receptor 4
OLFR1250	0.999	-0.001	7.943E-01	Olfactory receptor 1250
1700055M20RIK	0.999	-0.001	6.170E-01	
CYP2D26	0.999	-0.001	4.781E-01	Cytochrome P450, family 2, subfamily d, polypeptide 26
SNAPC2	0.999	-0.001	5.937E-01	Small nuclear RNA activating complex, polypeptide 2
EG545929	0.999	-0.001	4.546E-01	
EPX	0.999	-0.001	7.667E-01	Eosinophil peroxidase
SPRR2G	0.999	-0.001	7.235E-01	small proline-rich protein 2G
LHX6	0.999	-0.001	5.389E-01	LIM homeobox protein 6
CARS	0.999	-0.001	6.079E-01	Cysteinyl-tRNA synthetase
IRF7	0.999	-0.001	7.373E-01	
LEF1	0.999	-0.001	7.168E-01	Transcribed locus
HDAC9	0.999	-0.001	8.540E-01	
EG545370	0.999	-0.001	5.159E-01	
ARHGAP19	0.999	-0.001	4.026E-01	Rho GTPase activating protein 19
LOC671453	0.999	-0.001	5.606E-01	
GNB1L	0.999	-0.001	5.230E-01	Guanine nucleotide binding protein (G protein), beta polypeptide 1-like
MYL7	0.999	-0.001	4.924E-01	
BC018101	0.999	-0.001	3.950E-01	
ARG2	0.999	-0.001	5.627E-01	Arginase type II
OASL1	0.999	-0.001	4.582E-01	
V1RF4	0.999	-0.001	7.252E-01	
EG434396	0.999	-0.001	4.522E-01	
OLFR62	0.999	-0.001	9.350E-01	Olfactory receptor 62
ZDHHC2	0.999	-0.001	7.129E-01	Zinc finger, DHHC domain containing 2
SYCN	0.999	-0.001	7.090E-01	
RAB27B	0.999	-0.001	7.724E-01	RAB27b, member RAS oncogene family
STK22S1	0.999	-0.001	4.159E-01	
V1RC2	0.999	-0.001	5.034E-01	
PCDHGB5	0.999	-0.001	5.527E-01	
TAAR7A	0.999	-0.001	5.586E-01	Trace amine-associated receptor 7A
ATP1B4	0.999	-0.001	3.837E-01	ATPase, (Na+)/K+ transporting, beta 4 polypeptide
EG432838	0.999	-0.001	3.494E-01	
DEFB18	0.999	-0.001	5.798E-01	Defensin beta 18
DUOX2	0.999	-0.001	2.665E-01	Dual oxidase 2
CLNK	0.999	-0.001	5.404E-01	Cytokine-dependent hematopoietic cell linker
CCDC115	0.999	-0.001	7.882E-01	
TINF2	0.999	-0.001	6.304E-01	
CRISP4	0.999	-0.001	6.755E-01	Cysteine-rich secretory protein 4
CHRDL2	0.999	-0.001	6.352E-01	
PRSS29	0.999	-0.001	5.333E-01	Protease, serine, 29
CCR3	0.999	-0.001	7.275E-01	Chemokine (C-C motif) receptor 3
LBX1	0.999	-0.001	5.137E-01	Ladybird homeobox homolog 1 (Drosophila)
CILP2	0.999	-0.001	8.523E-01	Cartilage intermediate layer protein 2
ACSM2	0.999	-0.001	6.131E-01	Acyl-CoA synthetase medium-chain family member 2
MSRB3	0.999	-0.001	5.798E-01	Methionine sulfoxide reductase B3
OLFR948	0.999	-0.001	4.008E-01	Olfactory receptor 948
PTRH1	0.999	-0.001	7.707E-01	Peptidyl-tRNA hydrolase 1 homolog (S. cerevisiae)
TTK	0.999	-0.001	3.577E-01	
1700013G24RIK	0.999	-0.001	8.431E-01	RIKEN cDNA 1700013G24 gene
DOCK7	0.999	-0.001	5.021E-01	Dedicator of cytokinesis 7
CASC1	0.999	-0.001	7.408E-01	
SYT6	0.999	-0.001	6.757E-01	Synaptotagmin VI
OLFR140	0.999	-0.001	3.776E-01	Olfactory receptor 140
RBM7	0.999	-0.001	4.447E-01	Transcribed locus
PPIH	0.999	-0.001	3.301E-01	Peptidyl prolyl isomerase H
TTC24	0.999	-0.001	5.120E-01	Tetratricopeptide repeat domain 24
FTMT	0.999	-0.001	6.085E-01	Ferritin mitochondrial
FUT11	0.999	-0.001	7.387E-01	
SHBG	0.999	-0.001	2.864E-01	Sex hormone binding globulin
MTMR7	0.999	-0.001	2.956E-01	Myotubularin related protein 7
BC089491	0.999	-0.001	5.836E-01	CDNA sequence BC089491
NGB	0.999	-0.001	6.786E-01	Neuroglobin
FBXL18	0.999	-0.001	8.767E-01	RIKEN cDNA B130019G13 gene
UBASH3B	0.999	-0.001	5.074E-01	RIKEN cDNA 2810457I06 gene
LOC100047717	0.999	-0.001	3.612E-01	
DMRT1	0.999	-0.001	6.675E-01	Doublesex and mab-3 related transcription factor 1
MYOZ3	0.999	-0.001	5.068E-01	Myozenin 3
TIPARP	0.999	-0.001	7.169E-01	TCDD-inducible poly(ADP-ribose) polymerase
TLE3	0.999	-0.001	6.524E-01	Transcribed locus
BAK1	0.999	-0.001	6.042E-01	BCL2-antagonist/killer 1
ADAD1	0.999	-0.001	4.963E-01	
CRYGS	0.999	-0.001	8.996E-01	
4930408O21RIK	0.999	-0.001	5.738E-01	
2810422O20RIK	0.999	-0.001	7.359E-01	
PTPN20	0.999	-0.001	4.452E-01	Protein tyrosine phosphatase, non-receptor type 20
NEK10	0.999	-0.001	5.307E-01	NIMA (never in mitosis gene a)- related kinase 10
AVPR1B	0.999	-0.001	7.038E-01	Arginine vasopressin receptor 1B
MRGPRB5	0.999	-0.001	5.006E-01	MAS-related GPR, member B5
EG432867	0.999	-0.001	3.485E-01	
2510048L02RIK	0.999	-0.001	5.204E-01	
CRYGN	0.999	-0.001	6.246E-01	Crystallin, gamma N
HIVEP3	0.999	-0.001	8.649E-01	Human immunodeficiency virus type I enhancer binding protein 3
OLFR727	0.999	-0.001	4.770E-01	Olfactory receptor 727
POU6F2	0.999	-0.001	4.905E-01	POU domain, class 6, transcription factor 2
DPEP1	0.999	-0.001	6.085E-01	Dipeptidase 1 (renal)
MBL1	0.999	-0.001	3.562E-01	
GAD2	0.999	-0.001	6.936E-01	Glutamic acid decarboxylase 2
4933417A18RIK	0.999	-0.001	4.935E-01	RIKEN cDNA 4933417A18 gene
LOC234911	0.999	-0.001	7.670E-01	
UBQLN3	0.999	-0.001	7.366E-01	Ubiquilin 3
NR4A1	0.999	-0.001	6.723E-01	Nuclear receptor subfamily 4, group A, member 1
PABPC5	0.999	-0.001	5.407E-01	Poly A binding protein, cytoplasmic 5
OLFR943	0.999	-0.001	6.117E-01	Olfactory receptor 943
1110032E23RIK	0.999	-0.001	8.452E-01	
OLFR961	0.999	-0.001	4.568E-01	Olfactory receptor 961
OLFR420	0.999	-0.001	7.191E-01	Olfactory receptor 420
OLFR149	0.999	-0.001	7.181E-01	Olfactory receptor 149
OLFR32	0.999	-0.001	3.568E-01	Olfactory receptor 32
FSCN2	0.999	-0.001	5.589E-01	
2310002J15RIK	0.999	-0.001	6.505E-01	
CIITA	0.999	-0.001	7.539E-01	Class II transactivator
REPS2	0.999	-0.001	3.987E-01	Transcribed locus
BPIL3	0.999	-0.001	7.738E-01	
LCE1B	0.999	-0.001	5.792E-01	Late cornified envelope 1B
LMX1B	0.999	-0.001	7.256E-01	LIM homeobox transcription factor 1 beta
TBX20	0.999	-0.001	5.882E-01	T-box 20
LPAR2	0.999	-0.001	5.291E-01	Endothelial differentiation, lysophosphatidic acid G-protein-coupled receptor 4
UXS1	0.999	-0.001	5.973E-01	
NDUFS1	0.999	-0.001	8.228E-01	NADH dehydrogenase (ubiquinone) Fe-S protein 1
MUG2	0.999	-0.001	5.385E-01	Murinoglobulin 2
HMGB4	0.999	-0.001	7.179E-01	
COL9A1	0.999	-0.001	7.250E-01	Collagen, type IX, alpha 1
WDR36	0.999	-0.001	3.430E-01	WD repeat domain 36
PTX3	0.999	-0.001	4.666E-01	Pentraxin related gene
AFM	0.999	-0.001	3.641E-01	
EDEM3	0.999	-0.001	7.667E-01	ER degradation enhancer, mannosidase alpha-like 3
TMC1	0.999	-0.001	6.717E-01	Transmembrane channel-like gene family 1
NUP188	0.999	-0.001	6.684E-01	Nucleoporin 188
TAAR5	0.999	-0.001	7.392E-01	Trace amine-associated receptor 5
INSR	0.999	-0.001	6.043E-01	
OLFR176	0.999	-0.001	8.920E-01	Olfactory receptor 176
UPRT	0.999	-0.001	7.174E-01	Uracil phosphoribosyltransferase (FUR1) homolog (S. cerevisiae)
A830080D01RIK	0.999	-0.001	8.830E-01	RIKEN cDNA A830080D01 gene
OLFR918	0.999	-0.001	3.560E-01	Olfactory receptor 918
ZFP418	0.999	-0.001	6.588E-01	
ADAM5	0.999	-0.001	5.159E-01	A disintegrin and metallopeptidase domain 5
MS4A8A	0.999	-0.001	3.362E-01	
CRYGB	0.999	-0.001	3.549E-01	
T2	0.999	-0.001	7.853E-01	
CAV2	0.999	-0.001	8.320E-01	Caveolin 2
1700019N19RIK	0.999	-0.001	5.390E-01	RIKEN cDNA 1700019N19 gene
RNASE1	0.999	-0.001	6.939E-01	
SUNC1	0.999	-0.001	4.809E-01	
INCENP	0.999	-0.001	9.846E-01	
ATP8B3	0.999	-0.001	7.966E-01	ATPase, class I, type 8B, member 3
EYA1	0.999	-0.001	5.480E-01	Eyes absent 1 homolog (Drosophila)
AOAH	0.999	-0.001	4.819E-01	Acyloxyacyl hydrolase
OLFR829	0.999	-0.001	5.752E-01	Olfactory receptor 829
EG432870	0.999	-0.001	4.438E-01	
GJA3	0.999	-0.001	7.300E-01	
TRDN	0.999	-0.001	6.013E-01	
SERPINB9	0.999	-0.001	2.333E-01	Serine (or cysteine) peptidase inhibitor, clade B, member 9
LOC665566	0.999	-0.001	7.260E-01	
PLA2G2A	0.999	-0.001	4.155E-01	Phospholipase A2, group IIA (platelets, synovial fluid)
LYPD4	0.999	-0.001	7.356E-01	
TMPRSS11D	0.999	-0.001	4.410E-01	Transmembrane protease, serine 11d
MC1R	0.999	-0.001	8.345E-01	Melanocortin 1 receptor
PRSS28	0.999	-0.001	4.240E-01	Protease, serine, 28
OLFR116	0.999	-0.001	6.001E-01	Olfactory receptor 116
ANAPC10	0.999	-0.001	8.082E-01	Anaphase promoting complex subunit 10
A530088I07RIK	0.999	-0.001	5.646E-01	
IFITM1	0.999	-0.001	7.316E-01	Transcribed locus
PRAMEL4	0.999	-0.001	4.961E-01	Preferentially expressed antigen in melanoma like 4
C530008M07RIK	0.999	-0.001	3.025E-01	
CNGA4	0.999	-0.001	7.373E-01	Cyclic nucleotide gated channel alpha 4
4833405L16RIK	0.999	-0.001	5.654E-01	
V1RD19	0.999	-0.001	5.630E-01	Vomeronasal 1 receptor, D18
OLFR1089	0.999	-0.001	4.978E-01	Olfactory receptor 1089
MAGOHB	0.999	-0.001	8.318E-01	
MMP27	0.999	-0.001	4.647E-01	
KRT4	0.999	-0.001	5.376E-01	Keratin 4
OLFR78	0.999	-0.001	4.134E-01	Olfactory receptor 78
DPP4	0.999	-0.001	8.424E-01	
UGT2B36	0.999	-0.001	8.163E-01	UDP glucuronosyltransferase 2 family, polypeptide B36
MTFMT	0.999	-0.001	7.160E-01	Mitochondrial methionyl-tRNA formyltransferase
1700023E05RIK	0.999	-0.001	6.142E-01	RIKEN cDNA 1700023E05 gene
OTTMUSG00000002038	0.999	-0.001	6.402E-01	
OLFR670	0.999	-0.001	3.222E-01	Olfactory receptor 670
RNF128	0.999	-0.001	6.100E-01	Ring finger protein 128
2300006N05RIK	0.999	-0.001	5.082E-01	
ZFP652	0.999	-0.001	7.274E-01	Transcribed locus
OLFR356	0.999	-0.001	5.921E-01	Olfactory receptor 356
TACR2	0.999	-0.001	4.614E-01	Tachykinin receptor 2
PAWR	0.999	-0.001	5.377E-01	PRKC, apoptosis, WT1, regulator
2310005N01RIK	0.999	-0.001	7.804E-01	
FSIP1	0.999	-0.001	6.557E-01	Fibrous sheath-interacting protein 1
GPIHBP1	0.999	-0.001	8.616E-01	
TEKT3	0.999	-0.001	6.374E-01	Tektin 3
PRP15	0.999	-0.001	5.615E-01	
SLCO1A5	0.999	-0.001	7.787E-01	Solute carrier organic anion transporter family, member 1a5
SMR2	0.999	-0.001	4.966E-01	
TNNI3K	0.999	-0.001	8.615E-01	TNNI3 interacting kinase
V1RG9	0.999	-0.001	6.890E-01	
AKR1C12	0.999	-0.001	3.549E-01	Aldo-keto reductase family 1, member C12
KHDC1C	0.999	-0.001	3.486E-01	
OLFR1218	0.999	-0.001	3.382E-01	Olfactory receptor 1218
SPRR3	0.999	-0.001	3.664E-01	
TBC1D14	0.999	-0.001	6.274E-01	
OLFR172	0.999	-0.001	3.599E-01	Olfactory receptor 172
OLFR1287	0.999	-0.001	7.720E-01	Olfactory receptor 1287
IL7	0.999	-0.001	3.561E-01	
KRTAP5-2	0.999	-0.001	6.079E-01	Keratin associated protein 5-2
OLFR1214	0.999	-0.001	4.606E-01	Olfactory receptor 1214
BPIL2	0.999	-0.001	6.714E-01	
MFAP5	0.999	-0.001	6.903E-01	Transcribed locus
OLFR1290	0.999	-0.001	6.982E-01	Olfactory receptor 1290
SLC7A9	0.999	-0.001	6.694E-01	
LGI2	0.999	-0.001	9.360E-01	Leucine-rich repeat LGI family, member 2
BNC2	0.999	-0.001	8.658E-01	Basonuclin 2
OLFR1033	0.999	-0.001	4.366E-01	Olfactory receptor 1033
DSC2	0.999	-0.001	3.795E-01	Desmocollin 2
ORM1	0.999	-0.001	7.250E-01	
HHIPL1	0.999	-0.001	5.477E-01	RIKEN cDNA 1600002O04 gene
EG432555	0.999	-0.001	5.650E-01	
PARK2	0.999	-0.001	7.107E-01	
RSF1	0.999	-0.001	9.604E-01	RIKEN cDNA C030033M12 gene
CRX	0.999	-0.001	8.135E-01	Cone-rod homeobox containing gene
CALCA	0.999	-0.001	8.454E-01	Calcitonin/calcitonin-related polypeptide, alpha
BC021608	0.999	-0.001	5.813E-01	
ACSBG2	0.999	-0.001	3.794E-01	Acyl-CoA synthetase bubblegum family member 2
3200002M19RIK	0.999	-0.001	6.808E-01	
NT5DC1	0.999	-0.001	7.724E-01	Transcribed locus
FPR1	0.999	-0.001	7.890E-01	Formyl peptide receptor 1
KLK1B24	0.999	-0.001	3.028E-01	Kallikrein 1-related peptidase b24
ATP12A	0.999	-0.001	7.304E-01	ATPase, H+/K+ transporting, nongastric, alpha polypeptide
CD207	0.999	-0.001	7.724E-01	CD 207 antigen
OLFR1101	0.999	-0.001	2.398E-01	Olfactory receptor 1101
PRKCA	0.999	-0.001	5.442E-01	Protein kinase C, alpha
4933407I18RIK	0.999	-0.001	6.705E-01	
ZMAT2	0.999	-0.001	7.168E-01	Zinc finger, matrin type 2
V1RE13	0.999	-0.001	3.844E-01	
9830163H01RIK	0.999	-0.001	7.966E-01	
SLC9A4	0.999	-0.001	4.600E-01	Solute carrier family 9 (sodium/hydrogen exchanger), member 4
CTTNBP2	0.999	-0.001	3.041E-01	Cortactin binding protein 2
ERMAP	0.999	-0.001	6.782E-01	Erythroblast membrane-associated protein
OLFR1245	0.999	-0.001	6.743E-01	Olfactory receptor 1245
LIMS1	0.999	-0.001	4.701E-01	Transcribed locus
OLFR683	0.999	-0.001	3.110E-01	Olfactory receptor 683
LOC100047300	0.999	-0.001	6.782E-01	
KLK15	0.999	-0.001	4.658E-01	Kallikrein related-peptidase 15
AKR1C14	0.999	-0.001	6.156E-01	Aldo-keto reductase family 1, member C14
ITK	0.999	-0.001	6.253E-01	IL2-inducible T-cell kinase
TRIM14	0.999	-0.001	5.347E-01	Tripartite motif-containing 14
CRY1	0.999	-0.001	3.672E-01	Cryptochrome 1 (photolyase-like)
ADAM1B	0.999	-0.001	3.261E-01	A disintegrin and metallopeptidase domain 1b
RASD1	0.999	-0.001	4.268E-01	RAS, dexamethasone-induced 1
GYKL1	0.999	-0.001	3.860E-01	Glycerol kinase-like 1
OLFR198	0.999	-0.001	6.265E-01	Olfactory receptor 198
4921523A10RIK	0.999	-0.001	5.860E-01	
CNTNAP5C	0.999	-0.001	5.257E-01	Contactin associated protein-like 5C
OLFR868	0.999	-0.001	7.185E-01	Olfactory receptor 868
AKAP10	0.999	-0.001	9.681E-01	A kinase (PRKA) anchor protein 10
TXNDC10	0.999	-0.001	4.600E-01	
NHLH1	0.999	-0.001	7.268E-01	Nescient helix loop helix 1
OLFR1197	0.999	-0.001	6.189E-01	Olfactory receptor 1197
LOC548597	0.999	-0.001	5.267E-01	
TAF7L	0.999	-0.001	3.870E-01	TAF7-like RNA polymerase II, TATA box binding protein (TBP)-associated factor
TGIF2	0.999	-0.001	3.467E-01	
GDF2	0.999	-0.001	6.735E-01	Growth differentiation factor 2
DBPHT2	0.999	-0.001	3.428E-01	DNA binding protein with his-thr domain
CCR8	0.999	-0.001	5.404E-01	Chemokine (C-C motif) receptor 8
CHRNA5	0.999	-0.001	6.773E-01	Cholinergic receptor, nicotinic, alpha polypeptide 5
PLA2G5	0.999	-0.001	3.275E-01	
CEACAM9	0.999	-0.001	6.857E-01	CEA-related cell adhesion molecule 9
SYTL4	0.999	-0.001	6.966E-01	Synaptotagmin-like 4
OLFR988	0.999	-0.001	4.198E-01	Transcribed locus, weakly similar to XP_001082088.1 similar to olfactory receptor, family 9, subfam
XYLB	0.999	-0.001	7.400E-01	
LOC100038893	0.999	-0.001	3.082E-01	
1110054O05RIK	0.999	-0.001	7.163E-01	
LOC237408	0.999	-0.001	5.852E-01	
C130034I18RIK	0.999	-0.001	4.499E-01	
CASP3	0.999	-0.001	5.295E-01	Caspase 3
DBX1	0.999	-0.001	3.395E-01	Developing brain homeobox 1
KCNK5	0.999	-0.001	6.572E-01	Potassium channel, subfamily K, member 5
A630095E13RIK	0.999	-0.001	4.055E-01	
ZFP217	0.999	-0.001	6.042E-01	Zinc finger protein 217
OLFR860	0.999	-0.001	2.962E-01	Olfactory receptor 860
CXCL10	0.999	-0.001	5.617E-01	Chemokine (C-X-C motif) ligand 10
ITGA4	0.999	-0.001	6.705E-01	Integrin alpha 4
OLFR539	0.999	-0.001	6.830E-01	Olfactory receptor 539
OLFR234	0.999	-0.001	6.114E-01	
EPHA2	0.999	-0.001	5.072E-01	Eph receptor A2
GDF5	0.999	-0.001	4.449E-01	Growth differentiation factor 5
TBX2	0.999	-0.001	6.077E-01	T-box 2
GLIS2	0.999	-0.001	4.410E-01	GLIS family zinc finger 2
PRPH	0.999	-0.001	3.985E-01	Peripherin
V1RH21	0.999	-0.001	6.761E-01	
SCN7A	0.999	-0.001	8.613E-01	
OLFR1515	0.999	-0.001	5.091E-01	
BC062115	0.999	-0.001	5.099E-01	
LEPR	0.999	-0.001	7.258E-01	Leptin receptor
D630003M21RIK	0.999	-0.001	6.982E-01	RIKEN cDNA D630003M21 gene
RAB38	0.999	-0.001	7.126E-01	Rab38, member of RAS oncogene family
OLFR854	0.999	-0.001	4.538E-01	Olfactory receptor 854
KRT42	0.999	-0.001	4.787E-01	Keratin 42
OLFR95	0.999	-0.001	9.351E-01	Olfactory receptor 95
SLC13A2	0.999	-0.001	2.776E-01	Solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2
METRNL	0.999	-0.001	4.087E-01	
MS4A13	0.999	-0.001	6.058E-01	Membrane-spanning 4-domains, subfamily A, member 13
CLDN4	0.999	-0.001	1.977E-01	Claudin 4
OLFR1045	0.999	-0.001	6.403E-01	Olfactory receptor 1045
